manacle		拷上；限制；
labile		【医学】（性格）易变的  【化学】（物质性质）易变的
nudge		nudge sb into doing sth 说服某人做某事
obviate		排除，消除（困难）
patent(2)	专利；明显的；
obfuscate	使困惑
inveigle	诱骗
latitude	纬度；自由
lash		猛击；抨击谴责；
jog		唤起
jest		笑话，开玩笑
judicious	明智的
maudlin		多愁善感的，过度感伤的
malfeasance	非法行为
itinerant	（工作）流动的，巡回的
modicum		少量，一点	not a modicum
infiltrate	秘密潜入
panegyric	颂词，赞美
insouciance	无忧无虑				insouciant a.
mawkish		多愁善感的，过度感伤的
off-key		不合适的
lugubrious	忧郁的
pan		严厉批评
mitigate	mollify, propitiate
misgiving	担忧疑虑
irascible	易怒的
mendacity	虚假
overweening	傲慢的，专横的
malaise		不舒服，不适 n.
malinger	诈病，装病（to shirk from work)
docile		温顺的
